Name,Nationality,Team,Age,Skill Rating,Position,Number,Goals,Yellow Cards,Red Cards,Value,Energy
Patrik Schick,CZE,Bayer Leverkusen,29,73,ST,14,0,0,0,27000000,1
Alejo Sarco,ARG,Bayer Leverkusen,19,46,ST,18,0,0,0,800000,1
Alexander Nubel,DEU,Stuttgart,28,69,GK,33,0,0,0,12000000,1
Dennis Siemen,DEU,Stuttgart,19,53,GK,41,0,0,0,1500000,1
Fabian Bredlow,DEU,Stuttgart,30,59,GK,1,0,0,0,1000000,1
Stefan Drijaca,DEU,Stuttgart,25,57,GK,21,0,0,0,325000,1
Jeff Chabot,DEU,Stuttgart,27,67,DF,24,0,0,0,12000000,1
Finn Jeltsch,DEU,Stuttgart,18,46,DF,29,0,0,0,12000000,1
Ameen Al-Dakhil,BEL,Stuttgart,23,61,DF,2,0,0,0,7500000,1
Luca Jaquez,CHE,Stuttgart,21,48,DF,14,0,0,0,6000000,1
Dan-Axel Zagadou,FRA,Stuttgart,25,67,DF,23,0,0,0,6000000,1
Anrie Chase,JPN,Stuttgart,21,43,DF,45,0,0,0,4000000,1
Maximilian Mittelstadt,DEU,Stuttgart,28,68,DF,7,0,0,0,20000000,1
Ramon Hendriks,NLD,Stuttgart,23,55,DF,3,0,0,0,5000000,1
Josha Vagnoman,DEU,Stuttgart,24,68,DF,4,0,0,0,12000000,1
Leonidas Stergiou,CHE,Stuttgart,23,61,DF,20,0,0,0,5000000,1
Pascal Stenzel,DEU,Stuttgart,29,64,MF,15,0,0,0,2500000,1
Angelo Stiller,DEU,Stuttgart,24,66,MF,6,0,0,0,38000000,1
Atakan Karazor,TUR,Stuttgart,28,68,MF,16,0,0,0,12000000,1
Yannik Keitel,DEU,Stuttgart,25,63,MF,5,0,0,0,3500000,1
Nikolas Nartey,DMK,Stuttgart,25,59,MF,28,0,0,0,400000,1
Enzo Millot,FRA,Stuttgart,22,64,ST,8,0,0,0,35000000,1
Chris Fuhrich,DEU,Stuttgart,27,69,ST,27,0,0,0,18000000,1
Jacob Bruun Larsen,DMK,Stuttgart,26,65,ST,25,0,0,0,6000000,1
Justin Diehl,DEU,Stuttgart,20,54,ST,17,0,0,0,3500000,1
Jamie Leweling,DEU,Stuttgart,24,64,ST,18,0,0,0,20000000,1
Fabian Rieder,CHE,Stuttgart,23,65,ST,32,0,0,0,7000000,1
Luca Raimund,DEU,Stuttgart,20,49,ST,40,0,0,0,500000,1
Nick Woltemade,DEU,Stuttgart,23,57,ST,11,0,0,0,17000000,1
Ermedin Demirovic,BIH,Stuttgart,27,70,ST,9,0,0,0,22000000,1
Deniz Unday,DEU,Stuttgart,28,71,ST,26,0,0,0,22000000,1
El Bilal Toure,MLI,Stuttgart,23,68,ST,10,0,0,0,17000000,1
Wahid Faghir,DMK,Stuttgart,21,55,ST,19,0,0,0,1000000,1
Thomas Kastanaras,DEU,Stuttgart,22,55,ST,22,0,0,0,500000,1
Jonas Urbig,DEU,Bayern Munich,21,59,GK,40,0,0,0,8000000,1
Manuel Neuer,DEU,Bayern Munich,39,82,GK,1,0,0,0,4000000,1
Daniel Peretz,ISR,Bayern Munich,24,64,GK,18,0,0,0,3000000,1
Sven Ulreich,DEU,Bayern Munich,36,64,GK,26,0,0,0,500000,1
Dayot Upamecano,FRA,Bayern Munich,26,79,DF,2,0,0,0,50000000,1
Kim Min-Jae,KOR,Bayern Munich,28,81,DF,3,0,0,0,45000000,1
Hiroki Ito,JPN,Bayern Munich,25,69,DF,21,0,0,0,30000000,1
Eric Dier,ENG,Bayern Munich,31,67,DF,15,0,0,0,8000000,1
Tarek Buchmann,DEU,Bayern Munich,20,50,DF,28,0,0,0,500000,1
Alphonso Davies,CAN,Bayern Munich,24,78,DF,19,0,0,0,50000000,1
Raphael Guerreiro,PRT,Bayern Munich,31,74,DF,22,0,0,0,10000000,1
Josip Stanisic,HRV,Bayern Munich,25,68,DF,44,0,0,0,28000000,1
Sacha Boey,FRA,Bayern Munich,24,70,DF,23,0,0,0,18000000,1
Joshua Kimmich,DEU,Bayern Munich,30,88,MF,6,0,0,0,50000000,1
Aleksandar Pavlovic,DEU,Bayern Munich,20,63,MF,45,0,0,0,50000000,1
Joao Palhinha,PRT,Bayern Munich,29,78,MF,16,0,0,0,40000000,1
Konrad Laimer,AUT,Bayern Munich,27,75,MF,27,0,0,0,25000000,1
Leon Goretzka,DEU,Bayern Munich,30,79,MF,8,0,0,0,22000000,1
Jamal Musiala,DEU,Bayern Munich,22,83,MF,42,0,0,0,140000000,1
Kingsley Coman,FRA,Bayern Munich,28,81,ST,11,0,0,0,35000000,1
Serge Gnabry,DEU,Bayern Munich,29,78,ST,7,0,0,0,25000000,1
Michael Olise,FRA,Bayern Munich,23,75,ST,17,0,0,0,80000000,1
Leroy Sane,DEU,Bayern Munich,29,85,ST,10,0,0,0,38000000,1
Thomas Muller,DEU,Bayern Munich,35,78,ST,25,0,0,0,6000000,1
Gabriel Vidovic,HRV,Bayern Munich,21,56,ST,24,0,0,0,3000000,1
Harry Kane,ENG,Bayern Munich,31,94,ST,9,0,0,0,90000000,1
Maarten Vandevoordt,BEL,RB Leipzig,23,61,GK,26,0,0,0,8000000,1
Peter Gulacsi,HUN,RB Leipzig,34,68,GK,1,0,0,0,2500000,1
Leopold Zingerle,DEU,RB Leipzig,31,58,GK,25,0,0,0,400000,1
Castello Lukeba,FRA,RB Leipzig,22,70,DF,23,0,0,0,50000000,1
El Chasaille Bitshaibu,FRA,RB Leipzig,19,60,DF,5,0,0,0,12000000,1
Willi Orban,HUN,RB Leipzig,32,75,DF,4,0,0,0,10000000,1
Lukas Klostermann,DEU,RB Leipzig,28,72,DF,16,0,0,0,8000000,1
David Raum,DEU,RB Leipzig,26,74,DF,22,0,0,0,25000000,1
Lutsharel Geertruida,NLD,RB Leipzig,24,73,DF,3,0,0,0,27000000,1
Benjamin Henrichs,DEU,RB Leipzig,28,73,DF,39,0,0,0,17000000,1
Kosta Nedeljkovic,SRB,RB Leipzig,19,55,DF,21,0,0,0,8500000,1
Ridle Baku,DEU,RB Leipzig,27,68,DF,17,0,0,0,7000000,1
Arthur Vermeeren,BEL,RB Leipzig,20,63,MF,18,0,0,0,22000000,1
Amadou Haidara,MLI,RB Leipzig,27,72,MF,8,0,0,0,20000000,1
Xaver Schlager,AUT,RB Leipzig,27,74,MF,24,0,0,0,18000000,1
Nicolas Seiwald,AUT,RB Leipzig,23,68,MF,13,0,0,0,16000000,1
Assan Ouedraogo,DEU,RB Leipzig,18,55,MF,20,0,0,0,10000000,1
Kevin Kampl,SVN,RB Leipzig,34,72,MF,44,0,0,0,3000000,1
Xavi Simons,NLD,RB Leipzig,21,74,MF,10,0,0,0,70000000,1
Christoph Baumgartner,AUT,RB Leipzig,25,70,MF,14,0,0,0,15000000,1
Viggo Gebel,DEU,RB Leipzig,17,40,MF,47,0,0,0,350000,1
Antonio Nusa,NOR,RB Leipzig,19,59,ST,7,0,0,0,28000000,1
Tidiam Gomis,FRA,RB Leipzig,18,43,ST,27,0,0,0,3000000,1
Benjamin Sesko,SVN,RB Leipzig,21,68,ST,30,0,0,0,65000000,1
Lois Openda,BEL,RB Leipzig,25,74,ST,11,0,0,0,60000000,1
Yussuf Poulsen,DMK,RB Leipzig,30,68,ST,9,0,0,0,5000000,1
Gregor Kobel,CHE,Dortmund,27,79,GK,1,0,0,0,40000000,1
Marcel Lotka,DEU,Dortmund,23,59,GK,35,0,0,0,1300000,1
Alexander Meyer,DEU,Dortmund,34,64,GK,33,0,0,0,800000,1
Silas Ostrzinski,DEU,Dortmund,21,51,GK,31,0,0,0,200000,1
Nico Schlotterbeck,DEU,Dortmund,25,73,DF,4,0,0,0,40000000,1
Waldemar Anton,DEU,Dortmund,28,69,DF,3,0,0,0,18000000,1
Niklas Sule,DEU,Dortmund,29,75,DF,25,0,0,0,8000000,1
Filippo Mane,ITA,Dortmund,20,49,DF,39,0,0,0,600000,1
Ramy Bensebaini,DZA,Dortmund,29,72,DF,5,0,0,0,7000000,1
Daniel Svensson,SWE,Dortmund,23,58,DF,24,0,0,0,5500000,1
Almugera Kabar,DEU,Dortmund,18,43,DF,42,0,0,0,1000000,1
Yan Couto,BRA,Dortmund,22,76,DF,2,0,0,0,20000000,1
Julian Ryerson,NOR,Dortmund,27,72,DF,26,0,0,0,20000000,1
Emre Can,DEU,Dortmund,31,74,MF,23,0,0,0,7000000,1
Salih Ozcan,TUR,Dortmund,27,70,MF,6,0,0,0,5000000,1
Felix Nmecha,DEU,Dortmund,24,70,MF,8,0,0,0,28000000,1
Carney Chukwuemeka,ENG,Dortmund,21,63,MF,17,0,0,0,15000000,1
Marcel Sabitzer,AUT,Dortmund,31,75,MF,20,0,0,0,10000000,1
Pascal Gross,DEU,Dortmund,33,75,MF,13,0,0,0,7000000,1
Kjell Watjen,DEU,Dortmund,19,46,MF,38,0,0,0,2000000,1
Julian Brandt,DEU,Dortmund,28,77,MF,10,0,0,0,25000000,1
Giovanni Reyna,USA,Dortmund,22,68,MF,7,0,0,0,10000000,1
Jamie Gittens,ENG,Dortmund,20,66,ST,43,0,0,0,50000000,1
Julien Duranville,BEL,Dortmund,18,58,ST,16,0,0,0,8500000,1
Karim Adeyemi,DEU,Dortmund,23,73,ST,27,0,0,0,40000000,1
Cole Campbell,USA,Dortmund,19,42,ST,37,0,0,0,1500000,1
Serhou Guirassy,GIN,Dortmund,29,78,ST,9,0,0,0,40000000,1
Maximilian Beier,DEU,Dortmund,22,68,ST,14,0,0,0,25000000,1
Kevin Trapp,DEU,Eintracht Frankfurt,34,70,GK,1,0,0,0,3000000,1
Kaua Santos,BRA,Eintracht Frankfurt,22,,GK,40,0,0,0,2500000,1
Jens Grahl,DEU,Eintracht Frankfurt,36,,GK,33,0,0,0,200000,1
Arthur Theate,BEL,Eintracht Frankfurt,24,68,DF,3,0,0,0,24000000,1
Robin Koch,DEU,Eintracht Frankfurt,28,69,DF,4,0,0,0,18000000,1
Tuta,BRA,Eintracht Frankfurt,25,66,DF,35,0,0,0,15000000,1
Nnamdi Collins,DEU,Eintracht Frankfurt,21,52,DF,34,0,0,0,10000000,1
Aurele Amenda,CHE,Eintracht Frankfurt,21,60,DF,5,0,0,0,7500000,1
Nathaniel Brown,DEU,Eintracht Frankfurt,21,59,DF,21,0,0,0,15000000,1
Niels Nkounkou,FRA,Eintracht Frankfurt,24,63,DF,29,0,0,0,5000000,1
Rasmus Kristensen,DMK,Eintracht Frankfurt,27,69,DF,13,0,0,0,10000000,1
Timothy Chandler,USA,Eintracht Frankfurt,35,59,DF,22,0,0,0,350000,1
Ellyes Skhiri,TUN,Eintracht Frankfurt,29,72,MF,15,0,0,0,9000000,1
Hugo Larsson,SWE,Eintracht Frankfurt,20,62,MF,16,0,0,0,40000000,1
Oscar Hojlund,DMK,Eintracht Frankfurt,20,55,MF,6,0,0,0,7500000,1
Mahmoud Dahoud,SYR,Eintracht Frankfurt,29,67,MF,18,0,0,0,5000000,1
Junior Dina Ebimbe,FRA,Eintracht Frankfurt,24,65,MF,26,0,0,0,7000000,1
Can Uzun,TUR,Eintracht Frankfurt,19,58,MF,20,0,0,0,18000000,1
Fares Chaibi,DZA,Eintracht Frankfurt,22,65,MF,8,0,0,0,9000000,1
Mario Gotze,DEU,Eintracht Frankfurt,32,71,MF,27,0,0,0,5000000,1
Krisztian Lisztes,HUN,Eintracht Frankfurt,19,48,MF,23,0,0,0,2000000,1
Jean-Matteo Bahoya,FRA,Eintracht Frankfurt,19,54,ST,19,0,0,0,9000000,1
Ansgar Knauff,DEU,Eintracht Frankfurt,23,64,ST,26,0,0,0,10000000,1
Hugo Ekitike,FRA,Eintracht Frankfurt,22,65,ST,11,0,0,0,55000000,1
Elye Wahi,FRA,Eintracht Frankfurt,22,67,ST,17,0,0,0,25000000,1
Igor Matanovic,HRV,Eintracht Frankfurt,22,55,ST,9,0,0,0,6000000,1
Michy Batshuayi,BEL,Eintracht Frankfurt,31,65,ST,30,0,0,0,5000000,1
Oliver Baumann,DEU,Hoffenheim,34,68,GK,1,0,0,0,3000000,1
Luca Philipp,DEU,Hoffenheim,24,56,GK,37,0,0,0,750000,1
Jakob Busk,DMK,Hoffenheim,31,53,GK,32,0,0,0,250000,1
Lukas Petersson,ISL,Hoffenheim,21,38,GK,36,0,0,0,150000,1
Ozan Kabak,TUR,Hoffenheim,25,67,DF,5,0,0,0,7500000,1
Leo Ostigard,NOR,Hoffenheim,25,70,DF,4,0,0,0,7000000,1
Robin Hranac,CZE,Hoffenheim,25,59,DF,2,0,0,0,3500000,1
Arthur Chaves,BRA,Hoffenheim,24,58,DF,35,0,0,0,3000000,1
Kevin Akpoguma,NGA,Hoffenheim,29,66,DF,25,0,0,0,2500000,1
Stanley Nsoki,FRA,Hoffenheim,26,64,DF,34,0,0,0,2500000,1
David Jurasek,CZE,Hoffenheim,24,62,DF,19,0,0,0,7000000,1
Alexander Prass,AUT,Hoffenheim,23,63,DF,22,0,0,0,6500000,1
Christopher Lenz,DEU,Hoffenheim,30,66,DF,13,0,0,0,800000,1
Valentin Gendrey,FRA,Hoffenheim,24,65,DF,15,0,0,0,8500000,1
Pavel Kadebarek,CZE,Hoffenheim,32,66,DF,3,0,0,0,2500000,1
Anton Stach,DEU,Hoffenheim,26,69,ST,16,0,0,0,14000000,1
Diadie Samassekou,MLI,Hoffenheim,29,63,ST,18,0,0,0,1000000,1
Tom Bischof,DEU,Hoffenheim,19,56,ST,7,0,0,0,25000000,1
Umut Tohumcu,DEU,Hoffenheim,20,58,ST,17,0,0,0,7000000,1
Grischa Promel,DEU,Hoffenheim,30,69,ST,6,0,0,0,4500000,1
Dennis Geiger,DEU,Hoffenheim,26,66,ST,8,0,0,0,3000000,1
Finn Becker,DEU,Hoffenheim,24,62,ST,20,0,0,0,2000000,1
Florian Micheler,AUT,Hoffenheim,19,43,ST,28,0,0,0,500000,1
Andrej Kramaric,HRV,Hoffenheim,33,72,MF,27,0,0,0,4000000,1
Bazoumana Toure,CIV,Hoffenheim,19,43,ST,29,0,0,0,9000000,1
Marius Bulter,DEU,Hoffenheim,32,67,ST,21,0,0,0,2500000,1
Adam Hlozek,CZE,Hoffenheim,22,64,ST,23,0,0,0,18000000,1
Gift Orban,NGA,Hoffenheim,22,62,ST,14,0,0,0,10000000,1
Max Moerstedt,DEU,Hoffenheim,19,44,ST,33,0,0,0,7000000,1
Haris Tabakovic,BIH,Hoffenheim,30,64,ST,26,0,0,0,3000000,1
Erencan Yardimci,TUR,Hoffenheim,23,55,ST,53,0,0,0,3000000,1
Ihlas Bebou,TGO,Hoffenheim,30,66,ST,9,0,0,0,2800000,1
David Mokwa,FRA,Hoffenheim,20,33,ST,52,0,0,0,1000000,1
Kevin Muller,DEU,Heidenheim,34,63,GK,1,0,0,0,1000000,1
Frank Feller,DEU,Heidenheim,21,44,GK,40,0,0,0,500000,1
Vitus Eicher,DEU,Heidenheim,34,54,GK,22,0,0,0,250000,1
Paul Tschernuth,AUT,Heidenheim,23,43,GK,34,0,0,0,100000,1
Benedikt Gimber,DEU,Heidenheim,28,61,DF,5,0,0,0,3000000,1
Patrik Mainka,DEU,Heidenheim,30,64,DF,6,0,0,0,3000000,1
Tim Siersleben,DEU,Heidenheim,25,60,DF,4,0,0,0,1500000,1
Thomas Keller,DEU,Heidenheim,25,53,DF,27,0,0,0,300000,1
Jonas Fohrenbach,DEU,Heidenheim,29,61,DF,19,0,0,0,2000000,1
Omar Traore,DEU,Heidenheim,27,59,DF,23,0,0,0,4000000,1
Marnon Busch,DEU,Heidenheim,30,62,DF,2,0,0,0,1200000,1
Niklas Dorsch,DEU,Heidenheim,27,67,MF,39,0,0,0,3500000,1
Julian Niehues,DEU,Heidenheim,23,57,MF,16,0,0,0,1500000,1
Luka Janes,DEU,Heidenheim,21,44,MF,36,0,0,0,200000,1
Norman Theuerkauf,DEU,Heidenheim,38,58,MF,30,0,0,0,175000,1
Jan Schoppner,DEU,Heidenheim,25,60,MF,3,0,0,0,4500000,1
Luca Kerber,DEU,Heidenheim,23,54,MF,20,0,0,0,1300000,1
Frans Kratzig,DEU,Heidenheim,22,57,MF,13,0,0,0,2000000,1
Paul Wanner,DEU,Heidenheim,19,54,MF,10,0,0,0,18000000,1
Adrian Beck,DEU,Heidenheim,27,59,MF,21,0,0,0,2000000,1
Leo Scienza,BRA,Heidenheim,26,51,ST,8,0,0,0,3000000,1
Mathias Honsak,AUT,Heidenheim,28,60,ST,17,0,0,0,1500000,1
Christopher Negele,DEU,Heidenheim,20,35,ST,25,0,0,0,250000,1
Sirlord Conteh,DEU,Heidenheim,28,57,ST,31,0,0,0,1500000,1
Marvin Pieringer,DEU,Heidenheim,25,61,ST,18,0,0,0,5500000,1
Budu Zivzivadze,GEO,Heidenheim,31,56,ST,12,0,0,0,2500000,1
Maximilian Breunig,DEU,Heidenheim,24,50,ST,14,0,0,0,2000000,1
Stefan Schimmer,DEU,Heidenheim,30,55,ST,9,0,0,0,500000,1
Michael Zetterer,DEU,Werder Bremen,29,62,GK,1,0,0,0,4500000,1
Mio Backhaus,DEU,Werder Bremen,20,51,GK,30,0,0,0,2000000,1
Markus Kolke,DEU,Werder Bremen,34,58,GK,25,0,0,0,300000,1
Marco Friedl,AUT,Werder Bremen,27,66,DF,32,0,0,0,10000000,1
Niklas Stark,DEU,Werder Bremen,30,66,DF,4,0,0,0,5000000,1
Amos Pieper,DEU,Werder Bremen,27,66,DF,5,0,0,0,3000000,1
Milos Veljkovic,SRB,Werder Bremen,29,65,DF,13,0,0,0,3000000,1
Julian Malatini,ARG,Werder Bremen,23,60,DF,22,0,0,0,3000000,1
Anthony Jung,DEU,Werder Bremen,33,64,DF,3,0,0,0,1000000,1
Derrick Kohn,DEU,Werder Bremen,26,65,DF,19,0,0,0,6000000,1
Felix Agu,DEU,Werder Bremen,25,60,DF,27,0,0,0,6000000,1
Issa Kabore,BFA,Werder Bremen,23,63,DF,29,0,0,0,6000000,1
Mitchell Weiser,DEU,Werder Bremen,30,67,DF,8,0,0,0,5000000,1
Senne Lynen,BEL,Werder Bremen,26,63,MF,14,0,0,0,9000000,1
Skelly Alvero,FRA,Werder Bremen,22,56,MF,28,0,0,0,3000000,1
Jens Stage,DMK,Werder Bremen,28,66,MF,6,0,0,0,12000000,1
Leonardo Bittencourt,DEU,Werder Bremen,31,64,MF,10,0,0,0,2000000,1
Romano Schmid,AUT,Werder Bremen,25,63,MF,20,0,0,0,15000000,1
Leon Opitz,DEU,Werder Bremen,20,49,MF,35,0,0,0,600000,1
Patrice Covic,HRV,Werder Bremen,17,38,MF,39,0,0,0,0,1
Marco Grull,AUT,Werder Bremen,26,63,ST,17,0,0,0,4000000,1
Abdenego Nankishi,DEU,Werder Bremen,22,48,ST,33,0,0,0,450000,1
Justin Njinmah,DEU,Werder Bremen,24,61,ST,11,0,0,0,7000000,1
Marvin Ducksch,DEU,Werder Bremen,31,67,ST,7,0,0,0,7500000,1
Andre Silva,PRT,Werder Bremen,29,71,ST,9,0,0,0,5000000,1
Keke Topp,DEU,Werder Bremen,21,53,ST,42,0,0,0,4000000,1
Oliver Burke,SCO,Werder Bremen,28,55,ST,15,0,0,0,1800000,1
Noah Atubolu,DEU,Freiburg,22,62,GK,1,0,0,0,15000000,1
Florian Muller,DEU,Freiburg,27,62,GK,21,0,0,0,1200000,1
Jannik Huth,DEU,Freiburg,31,59,GK,24,0,0,0,400000,1
Philipp Lienhart,AUT,Freiburg,28,70,DF,3,0,0,0,15000000,1
Matthias GInter,DEU,Freiburg,31,72,DF,28,0,0,0,8000000,1
Max Rosenfelder,DEU,Freiburg,22,54,DF,37,0,0,0,4000000,1
Bruno Ogbus,CHE,Freiburg,19,42,DF,43,0,0,0,1000000,1
Manuel Gulde,DEU,Freiburg,34,65,DF,5,0,0,0,800000,1
Christian Gunter,DEU,Freiburg,32,69,DF,30,0,0,0,4000000,1
Jordy Makengo,FRA,Freiburg,23,59,DF,33,0,0,0,3000000,1
Kiliann Sildillia,FRA,Freiburg,22,64,DF,25,0,0,0,10000000,1
Lukas Kubler,DEU,Freiburg,32,66,DF,17,0,0,0,2000000,1
Nicolas Hofler,DEU,Freiburg,35,69,MF,27,0,0,0,700000,1
Maximilian Eggestein,DEU,Freiburg,28,68,MF,8,0,0,0,10000000,1
Patrick Osterhage,DEU,Freiburg,25,63,MF,6,0,0,0,8500000,1
Johan Manzambi,CHE,Freiburg,19,39,MF,44,0,0,0,750000,1
Merlin Rohl,DEU,Freiburg,22,65,MF,34,0,0,0,12000000,1
Daniel-Kofi Kyereh,GHA,Freiburg,29,65,MF,11,0,0,0,1500000,1
Niklas Beste,DEU,Freiburg,26,67,ST,19,0,0,0,10000000,1
VIncenzo Grifo,ITA,Freiburg,32,71,ST,32,0,0,0,7500000,1
Florent Muslija,XKX,Freiburg,26,64,ST,23,0,0,0,2000000,1
Ritsu Doan,JPN,Freiburg,26,69,ST,42,0,0,0,22000000,1
Eren Dinkci,TUR,Freiburg,23,60,ST,18,0,0,0,12000000,1
Maximilian Philipp,DEU,Freiburg,31,64,ST,26,0,0,0,1000000,1
Junior Adamu,AUT,Freiburg,23,64,ST,20,0,0,0,6000000,1
Michael Gregoritsch,AUT,Freiburg,30,66,ST,38,0,0,0,4000000,1
Lucas Holer,DEU,Freiburg,30,67,ST,9,0,0,0,3500000,1
Finn Dahmen,DEU,Augsburg,27,64,GK,1,0,0,0,6000000,1
Nedilijko Labrovic,HRV,Augsburg,25,66,GK,22,0,0,0,3000000,1
Daniel Klein,DEU,Augsburg,24,48,GK,25,0,0,0,150000,1
Christian Matsima,FRA,Augsburg,22,57,DF,5,0,0,0,17000000,1
Keven Schlotterbeck,DEU,Augsburg,27,63,DF,31,0,0,0,7000000,1
Nahkai Banks,USA,Augsburg,18,36,DF,40,0,0,0,6000000,1
Cedric Zesiger,CHE,Augsburg,26,35,DF,16,0,0,0,5500000,1
Jeffrey Gouweleeuw,NLD,Augsburg,33,65,DF,6,0,0,0,1500000,1
Reece Oxford,ENG,Augsburg,26,62,DF,4,0,0,0,500000,1
Dimitrios Giannoulis,GRC,Augsburg,29,62,DF,13,0,0,0,2800000,1
Mads Pedersen,DMK,Augsburg,28,64,DF,3,0,0,0,2500000,1
Marius Wolf,DEU,Augsburg,29,68,DF,11,0,0,0,3000000,1
Robert Gumny,POL,Augsburg,26,61,DF,2,0,0,0,2000000,1
Hneri Koudossou,DEU,Augsburg,25,49,DF,44,0,0,0,1500000,1
Kristijan Jakic,HRV,Augsburg,27,66,MF,17,0,0,0,6500000,1
Mahmut Kucuksahin,TUR,Augsburg,21,35,MF,42,0,0,0,175000,1
Frank Onyeka,NGA,Augsburg,27,64,MF,19,0,0,0,7000000,1
Arne Maier,DEU,Augsburg,26,64,MF,10,0,0,0,4000000,1
Elvis Rexhbecaj,XKX,Augsburg,27,66,MF,8,0,0,0,3500000,1
Alexis Claude-Maurice,FRA,Augsburg,26,59,MF,20,0,0,0,12000000,1
Mert Komur,DEU,Augsburg,19,51,MF,36,0,0,0,5000000,1
Frederik Jensen,FIN,Augsburg,27,63,MF,24,0,0,0,3500000,1
Yusuf Kabadayi,DEU,Augsburg,21,54,ST,7,0,0,0,1500000,1
Phillip Tietz,DEU,Augsburg,27,64,ST,21,0,0,0,5000000,1
Mergim Berisha,DEU,Augsburg,26,67,ST,37,0,0,0,5000000,1
Samuel Essende,COD,Augsburg,27,58,ST,9,0,0,0,4500000,1
Steve Mounie,BEN,Augsburg,30,65,ST,15,0,0,0,3000000,1
Kamil Grabara,POL,Wolfsburg,26,68,GK,1,0,0,0,14000000,1
Marius Muller,DEU,Wolfsburg,31,63,GK,29,0,0,0,1500000,1
Pavao Pervan,AUT,Wolfsburg,37,56,GK,12,0,0,0,300000,1
Niklas Klinger,DEU,Wolfsburg,29,48,GK,30,0,0,0,100000,1
Konstantinos Koulierakis,GRC,Wolfsburg,21,40,DF,4,0,0,0,20000000,1
Sebastiaan Bournaw,BEL,Wolfsburg,26,66,DF,3,0,0,0,7000000,1
Denis Vavro,SVK,Wolfsburg,29,65,DF,18,0,0,0,7000000,1
David Odogu,DEU,Wolfsburg,18,44,DF,33,0,0,0,700000,1
Mathys Angely,FRA,Wolfsburg,17,34,DF,22,0,0,0,600000,1
Joakim Maehle,DMK,Wolfsburg,27,69,DF,21,0,0,0,14000000,1
Rogerio,BRA,Wolfsburg,27,67,DF,13,0,0,0,3500000,1
Mads Roerslev,DMK,Wolfsburg,25,68,DF,5,0,0,0,8000000,1
Kilian Fischer,DEU,Wolfsburg,24,61,DF,2,0,0,0,6000000,1
Mattias Svanberg,SWE,Wolfsburg,26,68,MF,32,0,0,0,12000000,1
Aster Vranckx,BEL,Wolfsburg,22,64,MF,6,0,0,0,9000000,1
Maximilian Arnold,DEU,Wolfsburg,30,71,MF,27,0,0,0,7000000,1
Yannick Gerhardt,DEU,Wolfsburg,31,67,MF,31,0,0,0,3000000,1
Kevin Paredes,USA,Wolfsburg,21,59,MF,40,0,0,0,7500000,1
Lovro Majer,HRV,Wolfsburg,27,70,MF,19,0,0,0,20000000,1
Bence Dardai,HUN,Wolfsburg,19,51,MF,24,0,0,0,9000000,1
Bennit Broger,DEU,Wolfsburg,18,43,MF,38,0,0,0,500000,1
Jakub Kaminski,POL,Wolfsburg,22,64,ST,16,0,0,0,6000000,1
Andreas Skov Olsen,DMK,Wolfsburg,25,66,ST,7,0,0,0,16000000,1
Patrick Wimmer,AUT,Wolfsburg,23,68,ST,39,0,0,0,15000000,1
