Name,Nationality,Team,Age,Skill Rating,Position,Number,Goals,Yellow Cards,Red Cards,Value,Energy
Jorge Herrando,ESP,Osasuna,24,58,DF,5,0,0,0,4000000,1
Alejandro Catena,ESP,Osasuna,30,70,DF,24,0,0,0,4000000,1
Unai Garcia,ESP,Osasuna,33,65,DF,4,0,0,0,1000000,1
Abel Bretones,ESP,Osasuna,24,60,DF,23,0,0,0,3000000,1
Juan Cruz,ESP,Osasuna,32,63,DF,3,0,0,0,1800000,1
Jesus Areso,ESP,Osasuna,25,65,DF,12,0,0,0,8000000,1
Ruben Pena,ESP,Osasuna,33,68,DF,15,0,0,0,1800000,1
Lucas Torro,ESP,Osasuna,30,66,MF,6,0,0,0,3500000,1
Iker Munoz,ESP,Osasuna,22,63,MF,18,0,0,0,3000000,1
Jon Moncayola,ESP,Osasuna,26,67,MF,7,0,0,0,7000000,1
Pablo Ibanez,ESP,Osasuna,26,64,MF,8,0,0,0,2300000,1
Aimar Oroz,ESP,Osasuna,23,69,MF,10,0,0,0,15000000,1
Bryan Zaragoza,ESP,Osasuna,23,69,ST,19,0,0,0,12000000,1
Moi Gomez,ESP,Osasuna,30,69,ST,16,0,0,0,3000000,1
Jose Manuel Arnaiz,ESP,Osasuna,30,66,ST,20,0,0,0,1800000,1
Ruben Garcia,ESP,Osasuna,31,68,ST,14,0,0,0,2000000,1
Kike Barja,ESP,Osasuna,28,65,ST,11,0,0,0,1800000,1
Ante Budimir,HRV,Osasuna,33,69,ST,17,0,0,0,5000000,1
Raul Garcia,ESP,Osasuna,24,65,ST,9,0,0,0,3500000,1
Juan Soriano,ESP,Leganes,27,64,GK,1,0,0,0,1200000,1
Marko Dmitrovic,SRB,Leganes,33,66,GK,13,0,0,0,800000,1
Sergio Gonzalez,ESP,Leganes,32,55,DF,6,0,0,0,1500000,1
Jorge Saenz,ESP,Leganes,28,59,DF,3,0,0,0,1200000,1
Matija Nastasic,SRB,Leganes,32,65,DF,22,0,0,0,1000000,1
Javi Hernandez,ESP,Leganes,26,61,DF,20,0,0,0,2000000,1
Enric Franquesa,ESP,Leganes,28,62,DF,15,0,0,0,1500000,1
Borna Barisic,HRV,Leganes,32,63,DF,4,0,0,0,1000000,1
Valentin Rosier,FRA,Leganes,28,63,DF,12,0,0,0,3000000,1
Adria Altimira,ESP,Leganes,24,58,DF,2,0,0,0,1500000,1
Renato Tapia,PER,Leganes,29,68,MF,5,0,0,0,3500000,1
Yvan Neyou,CAM,Leganes,28,62,MF,17,0,0,0,2500000,1
Julian Chicco,ARG,Leganes,27,58,MF,24,0,0,0,600000,1
Seydouba Cisse,GIN,Leganes,24,58,MF,8,0,0,0,3000000,1
Darko Brasanac,SRB,Leganes,33,64,MF,14,0,0,0,600000,1
Oscar Rodriguez,ESP,Leganes,26,66,MF,7,0,0,0,2000000,1
Roberto Lopez,ESP,Leganes,24,63,MF,21,0,0,0,1500000,1
Juan Cruz,ESP,Leganes,24,63,ST,11,0,0,0,4000000,1
Duk,CPV,Leganes,25,60,ST,18,0,0,0,1200000,1
Dani Raba,ESP,Leganes,29,61,ST,10,0,0,0,1800000,1
Munir El Haddadi,MAR,Leganes,29,66,ST,23,0,0,0,1500000,1
Miguel de la Fuente,ESP,Leganes,25,62,ST,9,0,0,0,2000000,1
Diego Garcia,ESP,Leganes,24,55,ST,19,0,0,0,1500000,1
Antonio Sivera,ESP,Alaves,28,68,GK,1,0,0,0,6000000,1
Jesus Owono,GNQ,Alaves,24,57,GK,13,0,0,0,1000000,1
Adrian Rodriguez,ARG,Alaves,24,50,GK,31,0,0,0,100000,1
Abdel Abqar,MAR,Alaves,26,63,DF,5,0,0,0,7500000,1
Santiago Mourino,URY,Alaves,23,63,DF,12,0,0,0,2000000,1
Moussa Diarra,MLI,Alaves,24,60,DF,22,0,0,0,2000000,1
Adrian Pica,ESP,Alaves,22,43,DF,36,0,0,0,1500000,1
Facundo Garces,ARG,Alaves,25,62,DF,2,0,0,0,1200000,1
Aleksandar Sedlar,SRB,Alaves,33,61,DF,4,0,0,0,400000,1
Manu Sanchez,ESP,Alaves,24,64,DF,3,0,0,0,6000000,1
Nahuel Tenaglia,ARG,Alaves,29,64,DF,14,0,0,0,3000000,1
Hugo Novoa,ESP,Alaves,22,56,DF,16,0,0,0,2000000,1
Antonio Blanco,ESP,Alaves,24,64,MF,8,0,0,0,7500000,1
Carlos Protesoni,URY,Alaves,27,61,MF,23,0,0,0,1500000,1
Ander Guevara,ESP,Alaves,27,69,MF,6,0,0,0,4000000,1
Jon Guridi,ESP,Alaves,30,65,MF,18,0,0,0,3000000,1
Carles Alena,ESP,Alaves,27,68,MF,21,0,0,0,2500000,1
Joan Jordan,ESP,Alaves,30,65,MF,24,0,0,0,2500000,1
Carlos Martin,ESP,Alaves,22,61,ST,15,0,0,0,3000000,1
Tomas Conechny,ARG,Alaves,27,62,ST,10,0,0,0,2000000,1
Carlos Vicente,ESP,Alaves,25,65,ST,7,0,0,0,8000000,1
Toni Martinez,ESP,Alaves,27,69,ST,11,0,0,0,2800000,1
Asier Villalibre,ESP,Alaves,27,65,ST,9,0,0,0,1800000,1
Kike Garcia,ESP,Alaves,35,67,ST,17,0,0,0,900000,1
Pau Cabanes,ESP,Alaves,20,40,ST,19,0,0,0,800000,1
David Soria,ESP,Getafe ,32,71,GK,13,0,0,0,4000000,1
Jiri Letacek,CZE,Getafe ,26,56,GK,1,0,0,0,2000000,1
Omar Alderete,PRY,Getafe ,28,68,DF,15,0,0,0,8000000,1
Djene,TGO,Getafe ,33,70,DF,2,0,0,0,2000000,1
Juan Berrocal,ESP,Getafe ,26,55,DF,4,0,0,0,1800000,1
Domingos Duarte,PRT,Getafe ,30,69,DF,22,0,0,0,800000,1
Juan Bernat,ESP,Getafe ,32,69,DF,14,0,0,0,1500000,1
Diego Rico,ESP,Getafe ,32,67,DF,16,0,0,0,1300000,1
Juan Iglesias,ESP,Getafe ,26,64,DF,21,0,0,0,3500000,1
Allan Nyom,CAM,Getafe ,36,65,DF,12,0,0,0,400000,1
Ramon Terrats,ESP,Getafe ,24,68,MF,11,0,0,0,4000000,1
Mauro Arambarri,URY,Getafe ,29,69,MF,8,0,0,0,7000000,1
Luis Milla,ESP,Getafe ,30,68,MF,5,0,0,0,3500000,1
Yellu Santiago,ESP,Getafe ,20,50,MF,20,0,0,0,1000000,1
Christantus Uche,NGA,Getafe ,21,46,MF,6,0,0,0,8000000,1
Alberto Risco,ESP,Getafe ,19,40,MF,26,0,0,0,200000,1
Coba da Costa,ESP,Getafe ,22,60,ST,29,0,0,0,3000000,1
Juanmi,ESP,Getafe ,31,68,ST,24,0,0,0,2800000,1
Alex Sola,ESP,Getafe ,25,61,ST,7,0,0,0,3000000,1
Carles Perez,ESP,Getafe ,27,72,ST,17,0,0,0,2500000,1
Peter Federico,PAN,Getafe ,22,59,ST,19,0,0,0,1500000,1
Borja Mayoral,ESP,Getafe ,28,70,ST,9,0,0,0,9000000,1
Bertug Yildirim,TUR,Getafe ,22,59,ST,10,0,0,0,2500000,1
Alvaro Rodriguez,URY,Getafe ,20,60,ST,18,0,0,0,2500000,1
Paulo Gazzaniga,ARG,Girona ,33,68,GK,13,0,0,0,3500000,1
Vladyslav Krapyvtsov,UKR,Girona ,19,35,GK,25,0,0,0,200000,1
Juan Carlos,ESP,Girona ,37,64,GK,1,0,0,0,100000,1
Ladislav Krejci,CZE,Girona ,25,68,DF,18,0,0,0,12000000,1
David Lopez,ESP,Girona ,35,71,DF,5,0,0,0,2000000,1
Daley Blind,NLD,Girona ,35,72,DF,17,0,0,0,2000000,1
Juanpe,ESP,Girona ,33,65,DF,15,0,0,0,900000,1
Miguel Gutierrez,ESP,Girona ,23,75,DF,3,0,0,0,25000000,1
Arnau Martinez,ESP,Girona ,21,67,DF,4,0,0,0,10000000,1
Alejandro Frances,ESP,Girona ,22,62,DF,16,0,0,0,2500000,1
Arthur Melo,BRA,Girona ,28,72,MF,12,0,0,0,5000000,1
Oriol Romeu,ESP,Girona ,33,72,MF,14,0,0,0,1800000,1
Yangel Herrera,VEN,Girona ,27,72,MF,21,0,0,0,2000000,1
Donny van de Beek,NLD,Girona ,27,69,MF,6,0,0,0,7500000,1
Jhon Solis,COL,Girona ,20,58,MF,22,0,0,0,3500000,1
Ivan Martin,ESP,Girona ,26,68,MF,23,0,0,0,10000000,1
Gabriel Misehouy,NLD,Girona ,19,58,MF,27,0,0,0,1000000,1
Bryan Gil,ESP,Girona ,24,68,ST,20,0,0,0,15000000,1
Arnaut Danjuma,NLD,Girona ,28,72,ST,11,0,0,0,5000000,1
Kim Min-Su,KOR,Girona ,19,40,ST,29,0,0,0,1000000,1
Viktor Tsygankov,UKR,Girona ,27,70,ST,8,0,0,0,22000000,1
Yaser Asprilla,COL,Girona ,21,63,ST,10,0,0,0,18000000,1
Portu,ESP,Girona ,32,68,ST,24,0,0,0,2500000,1
Abel Ruiz,ESP,Girona ,25,67,ST,9,0,0,0,6000000,1
Bojan Moivski,MKD,Girona ,25,63,ST,19,0,0,0,3000000,1
Christhian Stuani,URY,Girona ,38,67,ST,7,0,0,0,1200000,1
Augusto Batalla,ARG,Rayo Vallecano,28,66,GK,13,0,0,0,6000000,1
Dani Cardenas,ESP,Rayo Vallecano,28,64,GK,1,0,0,0,1800000,1
Abdul Mumin,GHA,Rayo Vallecano,26,67,DF,16,0,0,0,5000000,1
Florian Lejuene,FRA,Rayo Vallecano,33,70,DF,24,0,0,0,2800000,1
Pelayo Fernandez,ESP,Rayo Vallecano,21,50,DF,27,0,0,0,500000,1
Aridane Hernandez,ESP,Rayo Vallecano,36,64,DF,5,0,0,0,400000,1
Pep Chavarria,ESP,Rayo Vallecano,27,65,DF,3,0,0,0,3500000,1
Alfonso Espino,URY,Rayo Vallecano,33,67,DF,22,0,0,0,1500000,1
Andrei Ratiu,ROU,Rayo Vallecano,26,62,DF,2,0,0,0,12000000,1
Ivan Balliu,ALB,Rayo Vallecano,33,67,DF,20,0,0,0,1500000,1
Gerard Gumbau,ESP,Rayo Vallecano,30,66,MF,15,0,0,0,2000000,1
Oscar Valentin,ESP,Rayo Vallecano,30,67,MF,23,0,0,0,3500000,1
Unai Lopez,ESP,Rayo Vallecano,29,67,MF,17,0,0,0,2800000,1
Pedro Diaz,ESP,Rayo Vallecano,26,63,MF,4,0,0,0,2500000,1
Pathe Ciss,SEN,Rayo Vallecano,31,67,MF,6,0,0,0,2000000,1
Randy Nteka,AGO,Rayo Vallecano,27,64,MF,11,0,0,0,1500000,1
Joni Montiel,ESP,Rayo Vallecano,26,60,MF,25,0,0,0,900000,1
Oscar Trejo,ARG,Rayo Vallecano,36,69,MF,8,0,0,0,800000,1
Alvaro Garcia,ESP,Rayo Vallecano,32,72,ST,18,0,0,0,2500000,1
Jorge de Frutos,ESP,Rayo Vallecano,28,66,ST,19,0,0,0,4000000,1
Adrian Embarba,ESP,Rayo Vallecano,32,67,ST,21,0,0,0,1500000,1
Isi Palazon,ESP,Rayo Vallecano,30,70,ST,7,0,0,0,4000000,1
Sergio Camello,ESP,Rayo Vallecano,24,65,ST,14,0,0,0,3500000,1
Raul de Tomas,ESP,Rayo Vallecano,30,68,ST,9,0,0,0,800000,1
Sergi Guardiola,ESP,Rayo Vallecano,33,63,ST,12,0,0,0,600000,1
Ivan Villar,ESP,Celta Vigo,27,66,GK,1,0,0,0,900000,1
Vicente Guaita,ESP,Celta Vigo,38,68,GK,13,0,0,0,800000,1
Javi Rodriguez,ESP,Celta Vigo,21,32,DF,32,0,0,0,10000000,1
Carl Starfelt,SWE,Celta Vigo,29,67,DF,2,0,0,0,6000000,1
Carlos Dominguez,ESP,Celta Vigo,24,64,DF,24,0,0,0,2500000,1
Marcos Alonso,ESP,Celta Vigo,34,72,DF,20,0,0,0,1800000,1
Mihailo Ristic,SRB,Celta Vigo,29,65,DF,21,0,0,0,900000,1
Oscar Mingueza,ESP,Celta Vigo,25,68,DF,3,0,0,0,20000000,1
Sergio Carreira,ESP,Celta Vigo,24,64,DF,5,0,0,0,3000000,1
Javier Manquillo,ESP,Celta Vigo,30,65,DF,22,0,0,0,1800000,1
Damian Rodriguez,ESP,Celta Vigo,22,48,MF,25,0,0,0,3000000,1
Jailson,BRA,Celta Vigo,29,62,MF,16,0,0,0,1500000,1
Fran Beltran,ESP,Celta Vigo,26,68,MF,8,0,0,0,6000000,1
Hugo Sotelo,ESP,Celta Vigo,21,60,MF,4,0,0,0,5000000,1
Ilaix Moriba,GIN,Celta Vigo,22,63,MF,6,0,0,0,4000000,1
Hugo Alvarez,ESP,Celta Vigo,21,54,ST,23,0,0,0,7500000,1
Williot Swedberg,SWE,Celta Vigo,21,63,ST,19,0,0,0,5000000,1
Alfon Gonzalez,ESP,Celta Vigo,25,30,ST,12,0,0,0,2000000,1
Franco Cervi,ARG,Celta Vigo,30,64,ST,11,0,0,0,900000,1
Fer Lopez,ESP,Celta Vigo,20,43,ST,28,0,0,0,1500000,1
Iker Losada,ESP,Celta Vigo,23,58,ST,14,0,0,0,1800000,1
Pablo Duran,ESP,Celta Vigo,23,47,ST,18,0,0,0,3500000,1
Borja Iglesias,ESP,Celta Vigo,32,72,ST,7,0,0,0,3000000,1
Iago Aspas,ESP,Celta Vigo,37,77,ST,10,0,0,0,2500000,1
Joan Garcia,ESP,Espanyol,23,60,GK,1,0,0,0,20000000,1
Fernando Pacheco,ESP,Espanyol,32,70,GK,13,0,0,0,900000,1
Angel Fortuno,ESP,Espanyol,23,50,GK,33,0,0,0,300000,1
Marash Kumbulla,ALB,Espanyol,25,64,DF,4,0,0,0,6000000,1
Fernando Calero,ESP,Espanyol,29,65,DF,5,0,0,0,1500000,1
Leandro Cabrera,URY,Espanyol,33,68,DF,6,0,0,0,1000000,1
Sergi Gomez,ESP,Espanyol,33,64,DF,3,0,0,0,900000,1
Pablo Ramon,ESP,Espanyol,23,58,DF,24,0,0,0,200000,1
Carlos Romero,ESP,Espanyol,23,60,DF,22,0,0,0,3000000,1
Brian Olivian,ESP,Espanyol,31,63,DF,14,0,0,0,2000000,1
Omar El Hilali,MAR,Espanyol,21,58,DF,23,0,0,0,10000000,1
Alvaro Tejero,ESP,Espanyol,28,63,DF,12,0,0,0,2000000,1
Urko Gonzalez de Zarate,ESP,Espanyol,24,55,MF,19,0,0,0,1500000,1
Alex Kral,CZE,Espanyol,26,66,MF,20,0,0,0,6000000,1
Pol Lozano,ESP,Espanyol,25,61,MF,10,0,0,0,4000000,1
Jose Gragera,ESP,Espanyol,24,62,MF,15,0,0,0,2000000,1
Alvaro Aguado,ESP,Espanyol,28,67,MF,18,0,0,0,2000000,1
Edu Exposito,ESP,Espanyol,28,67,MF,8,0,0,0,1500000,1
Justin Smith,CAN,Espanyol,22,48,MF,40,0,0,0,300000,1
Rafel Bauza,ESP,Espanyol,20,38,MF,35,0,0,0,200000,1
Javi Puado,ESP,Espanyol,26,66,ST,7,0,0,0,8000000,1
Pere Milla,ESP,Espanyol,32,67,ST,11,0,0,0,1500000,1
Jofre Carreras,ESP,Espanyol,23,59,ST,17,0,0,0,4000000,1
Antoniu Roca,ESP,Espanyol,22,39,ST,31,0,0,0,1500000,1
Roberto Fernandez,ESP,Espanyol,22,58,ST,2,0,0,0,4000000,1
Walid Cheddira,MAR,Espanyol,27,63,ST,16,0,0,0,3000000,1
Alejo Veliz,ARG,Espanyol,21,63,ST,9,0,0,0,2800000,1
Omar Sadik,MAR,Espanyol,21,35,ST,34,0,0,0,500000,1
Dominik Grief,SVK,Mallorca,28,63,GK,1,0,0,0,6000000,1
Leo Roman,ESP,Mallorca,24,58,GK,13,0,0,0,2500000,1
Ivan Cuellar,ESP,Mallorca,40,61,GK,25,0,0,0,100000,1
Martin Valjent,SVK,Mallorca,29,66,DF,24,0,0,0,6000000,1
Jose Copete,ESP,Mallorca,25,64,DF,6,0,0,0,2800000,1
Antonio Raillo,ESP,Mallorca,33,67,DF,21,0,0,0,2000000,1
David Lopez,ESP,Mallorca,22,71,DF,32,0,0,0,500000,1
Johan Mojica,COL,Mallorca,32,68,DF,22,0,0,0,2200000,1
Toni Lato,ESP,Mallorca,27,63,DF,3,0,0,0,2000000,1
Pablo Maffeo,ARG,Mallorca,27,69,DF,23,0,0,0,5000000,1
Mateu Morey,ESP,Mallorca,25,60,DF,2,0,0,0,800000,1
Samu Costa,PRT,Mallorca,24,69,MF,12,0,0,0,15000000,1
Omar Mascarell,GNQ,Mallorca,32,67,MF,5,0,0,0,900000,1
Sergi Darder,ESP,Mallorca,31,73,MF,10,0,0,0,4000000,1
Manu Morlanes,ESP,Mallorca,26,68,MF,8,0,0,0,2500000,1
Antonio Sanchez,ESP,Mallorca,27,65,MF,18,0,0,0,2500000,1
Robert Navarro,ESP,Mallorca,23,64,MF,27,0,0,0,6000000,1
Dani Rodriguez,ESP,Mallorca,36,65,MF,14,0,0,0,900000,1
Chiquinho,PRT,Mallorca,25,63,ST,20,0,0,0,2500000,1
Takuma Asano,JPN,Mallorca,30,64,ST,11,0,0,0,2500000,1
Valery Fernandez,ESP,Mallorca,25,63,ST,16,0,0,0,2500000,1
Vedat Muriqi,XKX,Mallorca,30,71,ST,7,0,0,0,8000000,1
Cyle Larin,CAN,Mallorca,29,65,ST,17,0,0,0,3500000,1
Abdon Prats,ESP,Mallorca,32,66,ST,9,0,0,0,1500000,1
Fran Vieites,ESP,Real Betis,25,50,GK,25,0,0,0,800000,1
Adrian,ESP,Real Betis,38,64,GK,13,0,0,0,500000,1
Natan,BRA,Real Betis,24,70,DF,6,0,0,0,9000000,1
Diego Llorente,ESP,Real Betis,31,70,DF,3,0,0,0,6000000,1
Marc Bartra,ESP,Real Betis,34,70,DF,5,0,0,0,1000000,1
Romain Perraud,FRA,Real Betis,27,64,DF,15,0,0,0,5000000,1
Ricardo Rodriguez,CHE,Real Betis,32,70,DF,12,0,0,0,2500000,1
Aitor Ruibal,ESP,Real Betis,29,68,DF,24,0,0,0,3500000,1
Hector Bellerin,ESP,Real Betis,30,71,DF,2,0,0,0,3000000,1
Angel Ortiz,ESP,Real Betis,20,44,DF,40,0,0,0,2500000,1
Youssouf Sabaly,SEN,Real Betis,32,70,DF,23,0,0,0,2000000,1
Johnny Cardoso,USA,Real Betis,23,64,MF,4,0,0,0,20000000,1
Marc Roca,ESP,Real Betis,28,71,MF,21,0,0,0,8000000,1
William Carvalho,PRT,Real Betis,33,74,MF,14,0,0,0,2000000,1
Giovani Lo Celso,ARG,Real Betis,29,70,MF,20,0,0,0,20000000,1
Sergi Altimira,ESP,Real Betis,23,63,MF,16,0,0,0,10000000,1
Mateo Flores,ESP,Real Betis,21,41,MF,46,0,0,0,1000000,1
Pablo Fornals,ESP,Real Betis,29,68,MF,18,0,0,0,6000000,1
Isco,ESP,Real Betis,32,75,MF,22,0,0,0,6000000,1
Abde Ezzalzouli,MAR,Real Betis,23,50,ST,10,0,0,0,12000000,1
Jesus Rodriguez,ESP,Real Betis,19,45,ST,36,0,0,0,10000000,1
Antony,BRA,Real Betis,25,71,ST,7,0,0,0,20000000,1
Cucho Hernandez,COL,Real Betis,25,69,ST,19,0,0,0,18000000,1
Chimy Avila,ARG,Real Betis,31,70,ST,9,0,0,0,2500000,1
Cedric Bakambu,COD,Real Betis,34,65,ST,11,0,0,0,1800000,1
Thibaut Courtois,BEL,Real Madrid,32,91,GK,1,0,0,0,25000000,1
Andriy Lunin,UKR,Real Madrid,26,73,GK,13,0,0,0,20000000,1
Fran Gonzalez,ESP,Real Madrid,19,38,GK,26,0,0,0,400000,1
Eder Militao,BRA,Real Madrid,27,84,DF,3,0,0,0,40000000,1
Raul Asencio,ESP,Real Madrid,22,50,DF,35,0,0,0,30000000,1
Antonio Rudiger,DEU,Real Madrid,32,83,DF,22,0,0,0,24000000,1
David Alaba,AUT,Real Madrid,32,80,DF,4,0,0,0,10000000,1
Jesus Vallejo,ESP,Real Madrid,28,66,DF,18,0,0,0,1000000,1
Ferland Mendy,FRA,Real Madrid,29,78,DF,23,0,0,0,18000000,1
Fran Garcia,ESP,Real Madrid,25,68,DF,20,0,0,0,15000000,1
Daniel Carvajal,ESP,Real Madrid,33,78,DF,2,0,0,0,10000000,1
Lucas Vazquez,ESP,Real Madrid,33,73,DF,17,0,0,0,3500000,1
Aurelien Tchouameni,FRA,Real Madrid,25,80,MF,14,0,0,0,80000000,1
Federico Valverde,URY,Real Madrid,26,88,MF,8,0,0,0,130000000,1
Eduardo Camavinga,FRA,Real Madrid,22,85,MF,6,0,0,0,70000000,1
Dani Ceballos,ESP,Real Madrid,28,75,MF,19,0,0,0,10000000,1
Luka Modric,HRV,Real Madrid,39,86,MF,10,0,0,0,5000000,1
Jude Bellingham,ENG,Real Madrid,21,90,MF,5,0,0,0,180000000,1
Vinicius Junior,BRA,Real Madrid,24,93,ST,7,0,0,0,200000000,1
Rodrygo,BRA,Real Madrid,24,85,ST,11,0,0,0,100000000,1
Arda Guler,TUR,Real Madrid,20,63,ST,15,0,0,0,45000000,1
Brahim Diaz,MAR,Real Madrid,25,75,ST,21,0,0,0,45000000,1
Kylian Mbappe,FRA,Real Madrid,26,94,ST,9,0,0,0,170000000,1
Endrick,BRA,Real Madrid,18,65,ST,16,0,0,0,40000000,1
